id,faculty_id,type,title,year,nameofpublisher
845,173,Published,1. Vibration analysis of TMHE ,2015,"International Journal of Science, Engineering and Technology Research"
846,173,Published,2. Method study on reduction of operational lead time,2018,International Engineering Research Journal
847,173,Published,3. Performance evalution of TMHE ,2016,International Journal for Scientific Research and Development 
848,174,Published,1. Vibration control in gear box,2019,Journal of Emerging Technologies and Innovative Research
849,174,Published,2. Design of composite leaf spring,2018,International journal of technology & Science
850,175,Published,1. An Experimental Investigation of Solar Still With Addition of Photo-Catalyst Material\n,2019,Natinal Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
851,175,Published,2. Review on performance influencing parameters of solar still,2019,Natinal Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
852,175,Published,3. Performance analysis of Heat pipe and thermosyphon (weakless Heat pipe),2019,Natinal Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
853,176,Presented,1. Evaluation of Mechanical properties of Composite material Al6061 reinforced with flyash and seed husk.,2019,Journal of Emerging Technologies and Innovative Research
854,177,Published,1. A Solar Tunnel Dryer for Drying Red Chilly as an Agricultural Product,2014,International Journal of Engineering Research & Technology 
855,177,Published,2. Performance Evaluation of Solar Tunnel Dryer for Drying Agricultural Product,2014,"Journal of Environmental Science, Computer Science and Engineering & Technology"
856,177,Published,3. A Review Paper on Electrostatic Wind Energy Converter (EWICON) Method of Utilizing Wind Energy,2016,International Journal on Theoretical and Applied Research in Mechanical Engineering
857,177,Published,4. Solar Dryer for Medicianal Plant- An Experimental Investigation,2018,International Journal of Technical Innovation in Modern Engineering & Science
858,177,Presented,5. A Review Paper on Electrostatic Wind Energy Converter (EWICON) Method of Utilizing Wind Energy,2016,National Conference on Advances in Design and Thermal Engineering
859,177,Presented,6. An Experimental Investigation of Solar Still With Addition of Photo-Catalyst Material,2019,National Conference on Advancements in Mechanical Engineering and Industrial Management
860,178,Published,1.Recent Developments in Aerospace Materials: Composite Materials.,2017,"International Journal of Engineering, Technology, Science and Research"
861,178,Published,2.MAGMAsoft Analysis of Impeller Die,2017,"International Journal of Engineering, Technology, Science and Research"
862,178,Published,3. Powerworld: a software approach to stability and fault analysis,2019,"International Journal of Engineering, Technology, Science and Research"
863,179,Published,1. Improving Line Productivity at Silencer Assembly line,2019,National Conference on Advancements in Mechanical Engineering and Industrial Management
864,179,Published,2. Performance analysis of Water Cooled Domestic Refrigerator,2018,International Journal of Emerging Technologies and Innovative Research
865,179,Published,3. Measurement Variation analysis and Uncertainty Estimation in Single Cylinder Engine block using Coordinate Measuring Machine,2016,International Journal of Innovative Technology And Exploring Engineering
866,180,Published,1.Stress Analysis of a Frame of a bush Pressing Machine for Pumps,2015,"International Journal of Research in Science,Engg. & Technology"
867,181,Published,2.Design of a Bush Pressing Machine for Pumps,2015,International Journal of Engg. Science & Technology
868,182,Published,1. Effect of exhaust gas recirculation (EGR) on C.I. engine performance and emission - A review,2016,International Journal of Emerging Technologies and Innovative Research
869,182,Published,2. An experimental investigation to study combined effect of EGR and tung oil biodiesel blends used for CI engine,2016,International Journal of Current Engineering and Technology
870,182,Published,3. An experimental investigation of combined effect of EGR and Sesame oil biodiesel blends on CI engine,2016,International Journal of Emerging Technologies and Innovative Research
871,182,Published,4. Powerworld: a software approach to stability and fault analysis,2019,"International Journal of Engineering, Technology, Science and Research"
872,183,Presented,1.Study of Solar  Collector ,2013,"1st International Conferance on Physics,Mathematics,Geology and Engineering Sciences "
873,183,Presented,2.Study of Common Rail Direct fuel Injector,2014,"International Conferance on Science and Technology, Indian society for Technical Education"
874,183,Published,3.Review on Development of Glass Fiber/Epoxy Composite Material and its Characterizations,2016,"International Journal of Science ,Engg. & Technology Reserach"
875,183,Presented,4.Exprimental Investigation and Prediction of Mechanical properties of glass fiber/Epoxy material by variable volume fraction,2016,"Board of Study of Mechanical Engg, Savitribai Phule Pune University"
876,183,Presented,5.Vibration Analysis of Single cylinder Diesel Engine,2019,National Conference on Advancements in Mechanical Engineering and Industrial Management
877,183,Presented,6.A Study on Mechanical Properties of Aluminium Alloy (LM6) Reinforced with SiC and Fly Ash,2019,National Conference on Advancements in Mechanical Engineering and Industrial Management
878,184,Published,1. Experimental Analysis Of Single Cylinder Diesel Engine,2013,International Journal of Engineering Research & Technology 
879,184,Published,2.MAGMAsoft Analysis of Impeller Die,2017,"International Journal of Engineering, Technology, Science and Research"
880,185,Publish,1. Numerical Modeling of Flow Analysis over an Ogee Crested Spillway : VOF and MMF Model,2017,Journal of Applied Mechanical Engineering
881,185,Publish,2. Evaluation of Performance and Emission of CI Engine with Ethanol Blended Fuel  ,2019,Journal of Emerging Technologies and Innovative Research
882,186,Publish,1. Optimization and process planning of ginning machine component: A Review,2014,VSRD International journal
883,186,Publish,2. Optimization and process planning of ginning machine component,2015, International Journal of Innovative and Emerging Research in Engineering
884,186,Publish,3. Advanced manufacturing process and optimization technique: A Review,2019,Journal of Emerging Technologies and Innovative Research
885,186,Publish,4.Converting Manually Operated Die Into Automation Mode By Using Robotic Vacuum Gripper,2018,"11th International Conference on Recent Innovations in Science, Engineering and Management "
886,186,publish,5.Differentiating The Performance Of Solar Water Heater Under Natural And Forced Circulation,2017,International Research Journal of Engineering and Technology 
887,122,Published,To Examine the Relationships between Supplier Development Practices and Supplier-Buyer Relationship Practices from the Supplier's Perspective,2018,"Benchmarking: an International Journal, (Emerald)"

